index,position,red,green,blue,hex
198,0.77647058823529413,118,200,165,#76c8a5
199,0.7803921568627451,116,199,165,#74c7a5
200,0.78431372549019607,113,198,165,#71c6a5
201,0.78823529411764703,110,197,165,#6ec5a5
202,0.792156862745098,107,196,165,#6bc4a5
203,0.79607843137254897,105,195,165,#69c3a5
204,0.80000000000000004,102,194,165,#66c2a5
205,0.80392156862745101,100,192,166,#64c0a6
206,0.80784313725490198,98,189,167,#62bda7
207,0.81176470588235294,96,187,168,#60bba8
208,0.81568627450980391,94,185,169,#5eb9a9
209,0.81960784313725488,92,183,170,#5cb7aa
210,0.82352941176470584,90,180,171,#5ab4ab
211,0.82745098039215681,88,178,172,#58b2ac
212,0.83137254901960789,86,176,173,#56b0ad
213,0.83529411764705885,84,174,173,#54aead
214,0.83921568627450982,82,171,174,#52abae
215,0.84313725490196079,80,169,175,#50a9af
216,0.84705882352941175,78,167,176,#4ea7b0
217,0.85098039215686272,75,164,177,#4ba4b1
218,0.85490196078431369,73,162,178,#49a2b2
219,0.85882352941176465,71,160,179,#47a0b3
220,0.86274509803921573,69,158,180,#459eb4
221,0.8666666666666667,67,155,181,#439bb5
222,0.87058823529411766,65,153,182,#4199b6
223,0.87450980392156863,63,151,183,#3f97b7
224,0.8784313725490196,61,149,184,#3d95b8
225,0.88235294117647056,59,146,185,#3b92b9
226,0.88627450980392153,57,144,186,#3990ba
227,0.8901960784313725,55,142,187,#378ebb
228,0.89411764705882357,53,139,188,#358bbc
229,0.89803921568627454,51,137,189,#3389bd
230,0.90196078431372551,51,135,188,#3387bc
231,0.90588235294117647,53,133,187,#3585bb
232,0.90980392156862744,54,130,186,#3682ba
233,0.9137254901960784,56,128,185,#3880b9
234,0.91764705882352937,58,126,184,#3a7eb8
235,0.92156862745098034,59,124,183,#3b7cb7
236,0.92549019607843142,61,121,182,#3d79b6
237,0.92941176470588238,63,119,181,#3f77b5
238,0.93333333333333335,65,117,180,#4175b4
239,0.93725490196078431,66,115,179,#4273b3
240,0.94117647058823528,68,113,178,#4471b2
241,0.94509803921568625,70,110,177,#466eb1
242,0.94901960784313721,72,108,176,#486cb0
243,0.95294117647058818,73,106,175,#496aaf
244,0.95686274509803926,75,104,174,#4b68ae
245,0.96078431372549022,77,101,173,#4d65ad
246,0.96470588235294119,78,99,172,#4e63ac
247,0.96862745098039216,80,97,170,#5061aa
248,0.97254901960784312,82,95,169,#525fa9
249,0.97647058823529409,84,92,168,#545ca8
250,0.98039215686274506,85,90,167,#555aa7
251,0.98431372549019602,87,88,166,#5758a6
252,0.9882352941176471,89,86,165,#5956a5
253,0.99215686274509807,91,83,164,#5b53a4
254,0.99607843137254903,92,81,163,#5c51a3
255,1,94,79,162,#5e4fa2
